I-0,I-1,Desired,O-0,Actual,Correct
0.766,0.395,1,0.654301,1,1
0.698,0.861,0,0.280644,0,1
0.813,0.342,1,0.418607,-1,0
0.305,0.0618,0,0.353151,0,1
0.952,0.318,0,0.238478,0,1
0.423,0.681,1,0.914945,1,1
0.0732,0.523,0,0.177392,0,1
0.308,0.432,1,0.95096,1,1
0.793,0.643,1,0.726157,1,1
0.761,0.458,1,0.785867,1,1
0.258,0.211,1,0.688105,1,1
0.47,0.77,1,0.705099,1,1
0.0751,0.246,0,0.0333075,0,1
0.0649,0.618,0,0.186111,0,1
0.228,0.882,0,0.223208,0,1
0.113,0.839,0,0.117348,0,1
0.86,0.388,1,0.377921,0,0
0.635,0.218,1,0.572942,-1,0
0.87,0.286,0,0.284509,0,1
0.668,0.232,1,0.52867,-1,0
0.438,0.779,1,0.681701,1,1
0.685,0.388,1,0.849044,1,1
0.644,0.753,1,0.655903,1,1
0.478,0.252,1,0.91724,1,1
0.557,0.892,1,0.275853,0,0
0.728,0.703,1,0.719062,1,1
0.784,0.0681,0,0.236996,0,1
0.337,0.198,1,0.849083,1,1
0.5,0.816,1,0.517237,-1,0
0.455,0.992,0,0.165115,0,1
0.904,0.348,0,0.281434,0,1
0.664,0.957,0,0.176667,0,1
0.0445,0.211,0,0.012647,0,1
0.725,0.572,1,0.901933,1,1
0.106,0.505,1,0.32176,0,0
0.706,0.422,1,0.857244,1,1
0.233,0.0534,0,0.149533,0,1
0.271,0.552,1,0.931311,1,1
0.399,0.948,0,0.20081,0,1
0.285,0.0379,0,0.221071,0,1
0.276,0.0298,0,0.179439,0,1
0.104,0.716,0,0.297278,0,1
0.274,0.561,1,0.932444,1,1
0.116,0.4,1,0.247136,0,0
0.223,0.0356,0,0.0987497,0,1
0.605,0.268,1,0.782717,1,1
0.135,0.304,0,0.210935,0,1
0.147,0.431,1,0.476801,-1,0
0.457,0.614,1,0.96086,1,1
0.91,0.747,0,0.198281,0,1
0.607,0.289,1,0.823882,1,1
0.419,0.964,0,0.185539,0,1
0.596,0.0666,0,0.299672,0,1
0.289,0.864,0,0.331278,0,1
