I-0,I-1,Desired,O-0,O-1,O-2,O-3,Actual,Correct
0.72886,0.57812,0,0.877569,0.056985,0.00104291,0.198074,0,1
0.63195,0.4361,0,0.218009,0.00164325,0.0384212,0.769578,3,0
0.59928,0.65875,0,0.881171,0.136926,0.00095701,0.102654,0,1
0.64957,0.63374,0,0.900068,0.0963068,0.000794294,0.137902,0,1
0.46444,0.51717,0,0.0758929,0.338997,0.0984293,0.0294449,-1,0
0.55894,0.61279,0,0.787243,0.181451,0.00197042,0.0761565,0,1
0.60575,0.38025,0,0.0958513,0.000736212,0.104469,0.853962,3,0
0.4863,0.60329,0,0.377812,0.593377,0.0121298,0.0153683,-1,0
0.55322,0.67603,0,0.811036,0.244746,0.00165022,0.0580358,0,1
0.58616,0.45425,0,0.217865,0.00377671,0.0368917,0.631353,3,0
0.67232,0.49159,0,0.55776,0.00792,0.00732346,0.518014,-1,0
0.54169,0.58805,0,0.68489,0.200753,0.00344539,0.066507,0,1
0.45691,0.80496,0,0.315349,0.840703,0.0151884,0.005417,1,0
0.5052,0.74391,0,0.612768,0.547349,0.00444991,0.0193231,0,0
0.65382,0.62599,0,0.898296,0.0917244,0.000813244,0.142897,0,1
0.47009,0.58656,0,0.250171,0.664202,0.0223632,0.0114866,1,0
0.65002,0.65003,0,0.905011,0.102143,0.000745651,0.132359,0,1
0.73742,0.50226,0,0.655824,0.0112168,0.00464626,0.456712,0,0
0.5711,0.62954,0,0.830438,0.166827,0.00147019,0.0839265,0,1
0.45494,0.59523,0,0.200735,0.769797,0.0292459,0.00739295,1,0
0.53743,0.62974,0,0.729522,0.283251,0.00267636,0.048072,0,1
0.69651,0.50245,0,0.639283,0.0110526,0.00502119,0.458124,0,0
0.61741,0.55485,0,0.792952,0.0494809,0.00204699,0.208659,0,1
0.581,0.74992,0,0.874335,0.178722,0.00100758,0.0811716,0,1
0.46725,0.70821,0,0.35444,0.795816,0.0128262,0.00699866,1,0
0.55428,0.69895,0,0.819729,0.246982,0.00155094,0.0577806,0,1
0.74465,0.54721,0,0.829751,0.0352932,0.00161327,0.2631,0,1
0.61275,0.56877,0,0.819063,0.0643231,0.00168921,0.176361,0,1
0.51462,0.58289,0,0.518357,0.326259,0.00701617,0.0381382,-1,0
0.52115,0.70872,0,0.696385,0.426169,0.00307738,0.0291772,0,0
0.62968,0.68158,0,0.904108,0.118424,0.000747553,0.117721,0,1
0.6766,0.46222,0,0.375764,0.00308938,0.0167482,0.682609,3,0
0.61365,0.67916,0,0.895895,0.128661,0.000819829,0.109313,0,1
0.5664,0.68799,0,0.844377,0.205585,0.00130108,0.0700012,0,1
0.5758,0.71852,0,0.864795,0.187368,0.00109867,0.077267,0,1
0.59388,0.56555,0,0.78667,0.0711317,0.00208901,0.161751,0,1
0.71362,0.54108,0,0.808287,0.0308539,0.00189565,0.282694,0,1
0.61948,0.58008,0,0.844153,0.072042,0.00138699,0.164781,0,1
0.50934,0.50467,0,0.171836,0.0849807,0.0425439,0.114286,-1,0
0.72385,0.73075,0,0.922579,0.102983,0.000587356,0.133741,0,1
0.58313,0.58336,0,0.80283,0.101402,0.00184289,0.124876,0,1
0.49158,0.56531,0,0.311939,0.426524,0.0170603,0.0254404,-1,0
0.71178,0.52072,0,0.737291,0.0188177,0.00299862,0.363423,0,1
0.51951,0.53952,0,0.38174,0.156961,0.013239,0.0751311,-1,0
0.49795,0.58378,0,0.408785,0.448587,0.0109002,0.0245774,-1,0
0.58604,0.4707,0,0.293156,0.00618578,0.023851,0.543751,-1,0
0.64518,0.78328,0,0.914663,0.118603,0.000652121,0.118729,0,1
0.59358,0.68663,0,0.881777,0.151525,0.000945327,0.0942915,0,1
0.49054,0.69344,0,0.499585,0.651564,0.0070876,0.0131824,1,0
0.61189,0.45707,0,0.277979,0.0032432,0.0266223,0.665578,3,0
0.68167,0.60829,0,0.895646,0.0779725,0.000846166,0.160858,0,1
0.4973,0.58341,0,0.403412,0.452364,0.0111503,0.0242409,-1,0
0.59571,0.75296,0,0.889686,0.155273,0.000868575,0.0929032,0,1
0.74465,0.61316,0,0.904404,0.0775389,0.000763092,0.162652,0,1
0.43851,0.5256,0,0.0526614,0.550656,0.136567,0.0143968,-1,0
0.55952,0.51011,0,0.434741,0.0312151,0.0114917,0.252109,-1,0
0.5979,0.57978,0,0.820616,0.0837494,0.00164606,0.14575,0,1
0.58154,0.6991,0,0.870229,0.173156,0.00104997,0.0832507,0,1
0.60807,0.54092,0,0.737291,0.0395022,0.00288304,0.236643,0,1
0.61897,0.55782,0,0.802043,0.0517592,0.00192336,0.203246,0,1
0.71654,0.61624,0,0.903919,0.0796698,0.000766484,0.159405,0,1
0.3982,0.42115,0,0.00278576,0.108261,0.811679,0.06702,2,0
0.5674,0.52145,0,0.535786,0.0378979,0.00741114,0.22913,-1,0
0.65167,0.38055,0,0.121331,0.00056971,0.0819,0.880183,3,0
0.56164,0.67263,0,0.830639,0.21489,0.00144447,0.066593,0,1
0.68905,0.53269,0,0.774752,0.0255786,0.00237713,0.311258,0,1
0.47801,0.75104,0,0.432468,0.740171,0.00922737,0.0092318,1,0
0.46796,0.70407,0,0.357212,0.791823,0.0126799,0.00714309,1,0
0.53649,0.62067,0,0.715556,0.277046,0.00288653,0.0489315,0,1
0.39647,0.5024,0,0.0161161,0.530486,0.368572,0.0138361,-1,0
0.70736,0.63614,0,0.910355,0.0883612,0.000702484,0.148483,0,1
0.82282,0.39237,0,0.164413,0.000627214,0.0573787,0.875192,3,0
0.53251,0.33646,0,0.0252373,0.00195583,0.332362,0.702966,3,0
0.67468,0.70086,0,0.917037,0.106152,0.000635173,0.129899,0,1
0.68989,0.40333,0,0.165002,0.000728919,0.0567156,0.861483,3,0
0.58589,0.55848,0,0.753089,0.0686211,0.002561,0.163736,0,1
0.6039,0.52966,0,0.683638,0.0311005,0.003854,0.269863,0,1
0.78616,0.73076,0,0.924078,0.101018,0.000574902,0.135956,0,1
0.54182,0.57222,0,0.644352,0.167454,0.00422758,0.0773101,0,1
0.79149,0.71408,0,0.923499,0.0999315,0.000580315,0.137007,0,1
0.47338,0.62657,0,0.334969,0.721731,0.014337,0.00959919,1,0
0.49643,0.64457,0,0.50658,0.580506,0.00698804,0.0167544,-1,0
0.68074,0.6852,0,0.916445,0.103079,0.000641523,0.132819,0,1
0.55553,0.56148,0,0.670959,0.111043,0.00382182,0.110271,0,1
0.56247,0.5452,0,0.636371,0.072964,0.00460274,0.150405,0,1
0.48167,0.63508,0,0.396595,0.678372,0.0109516,0.0115667,1,0
0.5644,0.53268,0,0.585032,0.0531903,0.00588881,0.185405,-1,0
0.5177,0.65218,0,0.65029,0.425978,0.00384531,0.0286866,0,0
0.49421,0.54577,0,0.25866,0.314852,0.022978,0.0361656,-1,0
0.62899,0.5052,0,0.595699,0.0134203,0.00604481,0.415541,-1,0
0.84419,0.58786,0,0.893501,0.065099,0.000875644,0.182682,0,1
0.53847,0.63273,0,0.736737,0.281261,0.00257484,0.0485798,0,1
0.73265,0.66165,0,0.917402,0.0942415,0.000636263,0.14239,0,1
0.66081,0.58999,0,0.877141,0.069097,0.00103628,0.173169,0,1
0.64441,0.44477,0,0.262483,0.00196637,0.0296159,0.747067,3,0
0.56611,0.6273,0,0.818422,0.176646,0.00160022,0.0792501,0,1
0.88892,0.65474,0,0.919049,0.092153,0.000622366,0.145057,0,1
0.63932,0.68603,0,0.908108,0.114512,0.000712455,0.12135,0,1
0.69518,0.72902,0,0.92077,0.105366,0.000602445,0.131144,0,1
0.59058,0.76818,0,0.885714,0.162888,0.000903539,0.088855,0,1
0.59578,0.53572,0,0.693934,0.0387102,0.00361996,0.236369,0,1
0.6481,0.60131,0,0.882479,0.079279,0.000974577,0.157385,0,1
0.42923,0.84998,0,0.207662,0.911231,0.0264498,0.00303678,1,0
0.43868,0.52466,0,0.0517339,0.543066,0.139128,0.0147254,-1,0
0.56922,0.73666,0,0.856233,0.204528,0.00117868,0.0708668,0,1
0.71498,0.54385,0,0.815962,0.0327162,0.00179131,0.273835,0,1
0.54388,0.70451,0,0.790757,0.29186,0.00186604,0.0478634,0,1
0.58487,0.6236,0,0.849573,0.137581,0.00127827,0.100113,0,1
0.6761,0.68853,0,0.91618,0.104346,0.000643437,0.131533,0,1
0.67128,0.5743,0,0.862477,0.0563703,0.00120293,0.197707,0,1
0.8095,0.51601,0,0.742464,0.0179819,0.00292118,0.372578,0,1
0.68167,0.74576,0,0.920038,0.108092,0.000607984,0.128461,0,1
0.64435,0.65205,0,0.903869,0.104656,0.000755151,0.129758,0,1
0.63395,0.6212,0,0.889121,0.0957107,0.000899162,0.137366,0,1
0.5826,0.53375,0,0.652333,0.0423978,0.0044034,0.220129,0,1
0.59273,0.39259,0,0.0955999,0.000971612,0.103421,0.823974,3,0
0.64891,0.79247,0,0.915698,0.11735,0.000643337,0.119863,0,1
0.57638,0.61579,0,0.829974,0.14512,0.00148796,0.0946386,0,1
0.61578,0.74092,0,0.90261,0.134001,0.000755793,0.106323,0,1
0.51211,0.71015,0,0.646559,0.492039,0.00385936,0.0232734,0,0
0.50629,0.56085,0,0.389119,0.303571,0.0122682,0.0395949,-1,0
0.76764,0.54698,0,0.832573,0.0355661,0.00157849,0.262197,0,1
0.45393,0.53497,0,0.0876503,0.527402,0.0815079,0.0162358,-1,0
0.56471,0.81516,0,0.852912,0.217254,0.00120789,0.0667962,0,1
0.55915,0.52676,0,0.531219,0.0499988,0.00744485,0.190502,-1,0
0.45604,0.72515,0,0.298661,0.844172,0.0164684,0.00526988,1,0
0.5833,0.60942,0,0.836059,0.12838,0.00143075,0.105188,0,1
0.6626,0.58807,0,0.875828,0.0674768,0.00105112,0.175956,0,1
0.54976,0.63897,0,0.782982,0.237376,0.00198893,0.0589878,0,1
0.51076,0.67981,0,0.626481,0.493784,0.00423011,0.0229782,0,0
0.75018,0.64329,0,0.914625,0.089038,0.000663327,0.148218,0,1
0.38824,0.72402,0,0.12531,0.950292,0.0476768,0.00175465,1,0
0.4894,0.64784,0,0.461653,0.636307,0.00835158,0.0137152,1,0
0.62818,0.5915,0,0.864262,0.0782279,0.00116245,0.157038,0,1
0.61006,0.75808,0,0.900136,0.139572,0.00077662,0.102566,0,1
0.64218,0.61297,0,0.888041,0.0881568,0.000913921,0.146064,0,1
0.49621,0.50905,0,0.138231,0.136354,0.0538095,0.0762376,-1,0
0.49658,0.71811,0,0.549763,0.611521,0.00577805,0.0153616,1,0
0.77596,0.72275,0,0.923662,0.100719,0.000578634,0.136207,0,1
0.4644,0.61955,0,0.277136,0.763159,0.0188727,0.00789451,1,0
0.50239,0.43322,0,0.0298645,0.0141407,0.271947,0.328067,-1,0
0.3579,0.7082,0,0.102592,0.959877,0.0592078,0.00143853,1,0
0.71879,0.58728,0,0.88552,0.0632263,0.00095625,0.185379,0,1
0.62262,0.57349,0,0.836686,0.0649574,0.00148009,0.176691,0,1
0.66862,0.61924,0,0.898873,0.0854514,0.000811028,0.150757,0,1
0.59744,0.55461,0,0.764343,0.0570173,0.00242361,0.187369,0,1
0.53982,0.66782,0,0.764919,0.300183,0.00218332,0.0458595,0,1
0.53654,0.53328,0,0.451823,0.0921442,0.0100747,0.119216,-1,0
0.55767,0.69323,0,0.826865,0.233657,0.00147765,0.0612882,0,1
0.50451,0.40346,0,0.0202811,0.00776782,0.37033,0.433776,-1,0
0.57949,0.66523,0,0.860505,0.168628,0.00114941,0.0846645,0,1
0.56326,0.49002,0,0.328803,0.0157253,0.0191174,0.362448,-1,0
0.53953,0.485,0,0.211197,0.0215522,0.0351974,0.294446,-1,0
0.55162,0.53759,0,0.553743,0.0747001,0.00661649,0.144132,-1,0
0.64579,0.59555,0,0.876916,0.0759181,0.00103316,0.161819,0,1
0.57325,0.48162,0,0.315799,0.0102983,0.02079,0.443576,-1,0
0.78797,0.79065,0,0.925174,0.102738,0.000564806,0.134357,0,1
0.68506,0.65012,0,0.911591,0.094963,0.00068836,0.140791,0,1
0.54152,0.64287,0,0.757072,0.275865,0.00229979,0.0500218,0,1
0.7872,0.57172,0,0.875265,0.0533026,0.0010707,0.206916,0,1
0.77252,0.62196,0,0.909205,0.0813288,0.000716384,0.157729,0,1
0.52898,0.50035,0,0.237605,0.0447073,0.0289823,0.187852,-1,0
0.50912,0.68122,0,0.617057,0.506825,0.00440194,0.0219847,0,0
0.50811,0.50236,0,0.15887,0.0821972,0.0468977,0.116428,-1,0
0.68717,0.69417,0,0.918002,0.103347,0.000627573,0.132756,0,1
0.46065,0.48686,0,0.0329611,0.179067,0.2255,0.0528089,-1,0
0.51243,0.50145,0,0.172079,0.0711941,0.0428749,0.130803,-1,0
0.61349,0.56123,0,0.804065,0.056765,0.00188786,0.191057,0,1
0.61968,0.66825,0,0.897363,0.121632,0.000808811,0.114557,0,1
0.61567,0.67212,0,0.895884,0.125488,0.00082115,0.111561,0,1
0.57418,0.47549,0,0.285364,0.0083693,0.0244314,0.482116,-1,0
