I-0,I-1,Desired,O-0,O-1,O-2,O-3,O-4,O-5,Actual,Correct
0.69304,0.49273,0,0.86152,0.0633796,0.000128454,8.22392e-06,2.62437e-05,0.0299054,0,1
0.75598,0.58863,0,0.827479,0.110876,0.0106565,1.25016e-06,1.40832e-06,8.34322e-06,0,1
0.73664,0.50262,0,0.943409,0.0123297,0.000399561,4.48417e-06,1.38156e-05,0.00660637,0,1
0.62413,0.62837,0,0.105942,0.887078,0.013677,1.97908e-06,9.06966e-07,2.33444e-06,1,0
0.70329,0.45257,0,0.825127,0.0048611,5.52244e-06,4.86567e-06,1.78064e-05,0.191506,0,1
0.73714,0.50515,0,0.943599,0.0135711,0.000465682,4.43945e-06,1.35588e-05,0.00558725,0,1
0.86464,0.44829,0,0.994088,5.36984e-08,8.57459e-05,1.10897e-06,1.46756e-07,0.00151244,0,1
0.66648,0.49597,0,0.776026,0.175292,0.000134108,1.38724e-05,3.29037e-05,0.0367551,0,1
0.73903,0.42211,0,0.825849,7.60207e-05,5.24953e-07,1.622e-06,3.50618e-06,0.217946,0,1
0.5996,0.55805,0,0.245254,0.798498,0.00491867,3.77681e-05,6.68885e-06,0.000254034,1,0
0.77649,0.53846,0,0.965814,0.00626392,0.00364111,2.62861e-06,4.60448e-06,0.000288984,0,1
0.58153,0.52201,0,0.322579,0.646093,0.00153251,0.000192364,4.53598e-05,0.00581398,1,0
0.7219,0.55881,0,0.834549,0.194101,0.0039868,2.86782e-06,4.94456e-06,0.000124321,0,1
0.71837,0.43114,0,0.7907,0.00053894,8.72274e-07,2.58118e-06,7.98231e-06,0.280654,0,1
0.76231,0.56468,0,0.916866,0.0397376,0.00680959,1.92403e-06,2.91703e-06,5.0254e-05,0,1
0.66695,0.47382,0,0.754227,0.0719473,2.48221e-05,1.27965e-05,3.92547e-05,0.145133,0,1
0.68423,0.48599,0,0.832834,0.0666334,7.34288e-05,9.5244e-06,3.01578e-05,0.0536876,0,1
0.63709,0.55338,0,0.449487,0.714505,0.00274134,1.33459e-05,6.30127e-06,0.000358442,1,0
0.65973,0.40764,0,0.266363,0.00305916,2.76681e-08,4.61349e-06,2.34026e-05,0.834723,5,0
0.63289,0.47956,0,0.616238,0.211471,3.82061e-05,3.33244e-05,6.28467e-05,0.158873,0,1
0.82466,0.51033,0,0.991432,5.31161e-05,0.00242978,2.68053e-06,1.58627e-06,0.000503959,0,1
0.80707,0.42099,0,0.962467,4.48292e-07,2.18519e-06,8.33435e-07,3.9486e-07,0.0242953,0,1
0.85494,0.51822,0,0.995158,9.11158e-06,0.00570517,2.58946e-06,6.31752e-07,0.000165758,0,1
0.75456,0.52761,0,0.953178,0.0143774,0.00178663,3.33671e-06,8.13117e-06,0.000901923,0,1
0.70654,0.59836,0,0.557407,0.531493,0.00896872,1.41447e-06,1.37477e-06,6.35135e-06,-1,0
0.60843,0.42876,0,0.238745,0.0387801,2.99616e-07,4.07623e-05,0.000176337,0.821337,5,0
0.71343,0.41099,0,0.61901,0.000202641,9.5518e-08,1.7804e-06,5.31905e-06,0.49712,0,0
0.69898,0.506,0,0.874819,0.0864323,0.000318532,7.28707e-06,2.1673e-05,0.0109511,0,1
0.61452,0.49462,0,0.539557,0.398651,0.00014169,6.31254e-05,6.29257e-05,0.0641547,-1,0
0.59916,0.44621,0,0.3249,0.0931679,2.29554e-06,8.58373e-05,0.000238188,0.664574,5,0
0.64829,0.59443,0,0.285802,0.807825,0.00780873,3.52458e-06,1.58187e-06,1.30795e-05,1,0
0.72634,0.50071,0,0.92975,0.0195647,0.000311554,5.05074e-06,1.6385e-05,0.00928348,0,1
0.70799,0.46977,0,0.878095,0.0102018,2.67533e-05,5.65931e-06,2.02543e-05,0.0803957,0,1
0.70141,0.52419,0,0.862018,0.149987,0.000873706,6.14338e-06,1.52004e-05,0.00268952,0,1
0.59253,0.47053,0,0.412624,0.238709,2.82317e-05,0.000155343,0.000208673,0.303924,-1,0
0.71233,0.6356,0,0.371828,0.64573,0.0135105,5.33066e-07,5.98933e-07,6.89527e-07,1,0
0.60267,0.48102,0,0.478001,0.309949,5.80498e-05,0.000102528,0.000117866,0.16928,-1,0
0.64106,0.5235,0,0.614551,0.523363,0.000713125,2.09829e-05,1.92309e-05,0.00512028,0,0
0.63803,0.48899,0,0.651991,0.260864,7.89775e-05,2.90563e-05,4.98593e-05,0.0830283,0,1
0.79461,0.65436,0,0.63407,0.0990111,0.0246783,2.89225e-07,1.67896e-07,1.13696e-07,0,1
0.7388,0.4321,0,0.86578,0.000152201,1.43112e-06,2.01509e-06,4.70711e-06,0.16152,0,1
0.69117,0.52327,0,0.833184,0.203145,0.000776051,7.27124e-06,1.63735e-05,0.00330121,0,1
0.77644,0.57094,0,0.927702,0.0229248,0.00921408,1.632e-06,1.972e-06,2.61912e-05,0,1
0.86555,0.39675,0,0.979554,1.40372e-09,7.51926e-07,2.87717e-07,3.28381e-08,0.00696826,0,1
0.82815,0.46258,0,0.9901,1.92597e-06,0.000133851,1.76079e-06,6.68373e-07,0.00299805,0,1
0.70585,0.51589,0,0.883933,0.0958415,0.000593078,6.20221e-06,1.75144e-05,0.00477281,0,1
0.67296,0.47113,0,0.771374,0.0514999,2.06113e-05,1.09418e-05,3.59797e-05,0.151516,0,1
0.65965,0.59767,0,0.321458,0.783255,0.00807517,2.62915e-06,1.44514e-06,9.68048e-06,1,0
0.71298,0.36451,0,0.137744,1.52932e-05,6.08817e-10,7.09638e-07,1.33386e-06,0.809533,5,0
0.60264,0.45239,0,0.374518,0.116465,4.12389e-06,8.07264e-05,0.000195116,0.578962,-1,0
0.6156,0.46447,0,0.489681,0.161118,1.14192e-05,5.48156e-05,0.000112044,0.378016,-1,0
0.68485,0.66168,0,0.177119,0.824572,0.0137222,3.28022e-07,5.32974e-07,3.35487e-07,1,0
0.64702,0.44665,0,0.541893,0.0375105,1.81276e-06,1.50479e-05,5.39287e-05,0.535631,-1,0
0.80892,0.54547,0,0.98102,0.0010166,0.00720677,2.22346e-06,1.9963e-06,0.000101458,0,1
