I-0,I-1,Desired,O-0,Actual,Correct
0.673692,0.705335,1,0.994272,1,1
0.39262,0.276638,0,0.0104843,0,1
0.758067,0.706081,1,0.99652,1,1
0.125975,0.0385545,0,8.32459e-07,0,1
0.623848,0.676749,1,0.990347,1,1
0.356073,0.231993,0,0.00151597,0,1
0.148715,0.0796743,0,1.55454e-06,0,1
0.317708,0.182924,0,0.000195664,0,1
0.634131,0.678936,1,0.99126,1,1
0.235749,0.0473591,0,3.59998e-06,0,1
0.503324,0.525017,1,0.871838,1,1
0.809198,0.627332,1,0.996587,1,1
0.420988,0.311985,0,0.0438616,0,1
0.319947,0.184564,0,0.000214154,0,1
0.652438,0.859305,1,0.996245,1,1
0.344238,0.238207,0,0.00126267,0,1
0.733644,0.539136,1,0.992193,1,1
0.761348,0.869397,1,0.997676,1,1
0.63945,0.434684,1,0.956543,1,1
0.887522,0.643837,1,0.997623,1,1
0.427593,0.304578,0,0.0448933,0,1
0.65543,0.587261,1,0.988057,1,1
0.240071,0.208478,0,5.05419e-05,0,1
0.370723,0.382184,0,0.0473861,0,1
0.633511,0.537496,1,0.979304,1,1
0.645745,0.526856,1,0.980536,1,1
0.681028,0.351808,1,0.947777,1,1
0.469415,0.314968,0,0.140559,0,1
0.621543,0.602325,1,0.984787,1,1
0.0812278,0.0919689,0,8.254e-07,0,1
0.277194,0.288917,0,0.000639038,0,1
0.295567,0.232888,0,0.000315187,0,1
0.569703,0.620769,1,0.976431,1,1
0.336104,0.315167,0,0.00524984,0,1
0.346033,0.298861,0,0.00484811,0,1
0.656427,0.275693,1,0.83557,1,1
0.519504,0.540329,1,0.912139,1,1
0.487766,0.554797,1,0.879157,1,1
0.410106,0.366623,0,0.0897154,0,1
0.454056,0.575379,1,0.83869,1,1
0.693041,0.641998,1,0.993443,1,1
0.643174,0.524122,1,0.979579,1,1
0.592863,0.809887,1,0.993478,1,1
0.49805,0.481665,1,0.789577,1,1
0.628081,0.439407,1,0.951421,1,1
0.425931,0.43354,0,0.309301,0,1
0.217442,0.132611,0,8.68041e-06,0,1
0.499269,0.476097,1,0.781769,1,1
0.330563,0.282753,0,0.0022818,0,1
0.615957,0.77444,1,0.993571,1,1
0.483289,0.483405,1,0.745239,1,1
0.749557,0.705435,1,0.996361,1,1
0.664894,0.371147,1,0.9454,1,1
0.611414,0.663624,1,0.988393,1,1
0.498293,0.568071,0,0.908152,1,0
0.255186,0.1696,0,3.44762e-05,0,1
0.506051,0.487979,1,0.823641,1,1
0.718728,0.572147,1,0.992529,1,1
0.529122,0.62768,1,0.963597,1,1
0.41547,0.364038,0,0.0968023,0,1
0.467487,0.275196,0,0.0686489,0,1
0.382137,0.363938,0,0.0446827,0,1
0.0519947,0.197291,0,1.58371e-06,0,1
0.677992,0.708666,1,0.994512,1,1
0.374003,0.264159,0,0.00490467,0,1
0.382602,0.349819,0,0.0347625,0,1
0.652238,0.747892,1,0.994428,1,1
0.166556,0.169699,0,6.09197e-06,0,1
0.707292,0.432546,1,0.98081,1,1
0.15512,0.0978254,0,2.04862e-06,0,1
0.708843,0.578909,1,0.992179,1,1
0.284619,0.106963,0,2.1363e-05,0,1
0.431494,0.358171,0,0.124534,0,1
0.549246,0.49832,1,0.914845,1,1
0.31332,0.102509,0,3.66457e-05,0,1
0.28176,0.265253,0,0.000436421,0,1
0.597185,0.765094,1,0.992267,1,1
0.363165,0.235374,0,0.00197369,0,1
0.429344,0.635386,1,0.868672,1,1
0.417199,0.375522,0,0.120927,0,1
0.524003,0.725172,1,0.980874,1,1
0.401795,0.365032,0,0.0723529,0,1
0.361104,0.237263,0,0.00194493,0,1
0.671498,0.726067,1,0.994654,1,1
0.432336,0.355835,0,0.122185,0,1
0.405696,0.176162,0,0.00172517,0,1
0.429965,0.427723,0,0.308605,0,1
0.479499,0.614406,1,0.921449,1,1
0.567442,0.597055,1,0.971178,1,1
0.283045,0.315615,0,0.00130991,0,1
0.601485,0.794476,1,0.993452,1,1
0.283821,0.248747,0,0.000325455,0,1
0.519747,0.494492,0,0.864446,1,0
0.61926,0.352454,1,0.871309,1,1
0.425332,0.485742,0,0.492834,-1,0
0.201995,0.183023,0,1.43782e-05,0,1
0.295035,0.293442,0,0.00112004,0,1
0.217886,0.356481,0,0.000577251,0,1
0.708777,0.757338,1,0.996167,1,1
0.64949,0.594221,1,0.987871,1,1
0.327992,0.254116,0,0.00115355,0,1
0.362677,0.32342,0,0.0124921,0,1
0.388409,0.315913,0,0.0208696,0,1
0.5207,0.476842,0,0.841113,1,0
0.462323,0.491359,0,0.685843,1,0
0.622939,0.738247,1,0.992826,1,1
0.913985,0.747643,1,0.998143,1,1
0.361414,0.495884,1,0.224775,0,0
0.303989,0.183172,0,0.000139779,0,1
0.364605,0.325508,0,0.0136994,0,1
0.511414,0.420813,1,0.687852,1,1
0.437566,0.361353,0,0.148387,0,1
0.501175,0.454122,0,0.737662,1,0
