I-0,I-1,Desired,O-0,Actual,Correct
0.673692,0.705335,1,0.998676,1,1
0.39262,0.276638,0,0.0270616,0,1
0.758067,0.706081,1,0.999293,1,1
0.125975,0.0385545,0,1.80386e-05,0,1
0.623848,0.676749,1,0.997427,1,1
0.356073,0.231993,0,0.00604274,0,1
0.148715,0.0796743,0,3.09198e-05,0,1
0.317708,0.182924,0,0.00133414,0,1
0.634131,0.678936,1,0.997726,1,1
0.235749,0.0473591,0,6.94478e-05,0,1
0.503324,0.525017,1,0.933675,1,1
0.809198,0.627332,1,0.999281,1,1
0.420988,0.311985,0,0.0868301,0,1
0.319947,0.184564,0,0.00142703,0,1
0.652438,0.859305,1,0.999287,1,1
0.344238,0.238207,0,0.00512211,0,1
0.733644,0.539136,1,0.997825,1,1
0.761348,0.869397,1,0.999609,1,1
0.63945,0.434684,1,0.98131,1,1
0.887522,0.643837,1,0.999559,1,1
0.427593,0.304578,0,0.0897657,0,1
0.65543,0.587261,1,0.996429,1,1
0.240071,0.208478,0,0.00042726,0,1
0.370723,0.382184,0,0.0825255,0,1
0.633511,0.537496,1,0.992759,1,1
0.645745,0.526856,1,0.993234,1,1
0.681028,0.351808,1,0.976246,1,1
0.469415,0.314968,0,0.237123,0,1
0.621543,0.602325,1,0.995247,1,1
0.0812278,0.0919689,0,1.67364e-05,0,1
0.277194,0.288917,0,0.00257199,0,1
0.295567,0.232888,0,0.00170261,0,1
0.569703,0.620769,1,0.992008,1,1
0.336104,0.315167,0,0.0137075,0,1
0.346033,0.298861,0,0.0133378,0,1
0.656427,0.275693,1,0.910837,1,1
0.519504,0.540329,1,0.958405,1,1
0.487766,0.554797,1,0.938975,1,1
0.410106,0.366623,0,0.150291,0,1
0.454056,0.575379,1,0.913369,1,1
0.693041,0.641998,1,0.998365,1,1
0.643174,0.524122,1,0.992815,1,1
0.592863,0.809887,1,0.99856,1,1
0.49805,0.481665,1,0.876847,1,1
0.628081,0.439407,1,0.978697,1,1
0.425931,0.43354,0,0.423981,-1,0
0.217442,0.132611,0,0.000124224,0,1
0.499269,0.476097,1,0.871122,1,1
0.330563,0.282753,0,0.00739885,0,1
0.615957,0.77444,1,0.998547,1,1
0.483289,0.483405,1,0.843695,1,1
0.749557,0.705435,1,0.999251,1,1
0.664894,0.371147,1,0.975059,1,1
0.611414,0.663624,1,0.996742,1,1
0.498293,0.568071,0,0.956686,1,0
0.255186,0.1696,0,0.000348081,0,1
0.506051,0.487979,1,0.901022,1,1
0.718728,0.572147,1,0.997984,1,1
0.529122,0.62768,1,0.986517,1,1
0.41547,0.364038,0,0.161403,0,1
0.467487,0.275196,0,0.135942,0,1
0.382137,0.363938,0,0.080698,0,1
0.0519947,0.197291,0,2.60486e-05,0,1
0.677992,0.708666,1,0.998747,1,1
0.374003,0.264159,0,0.0146722,0,1
0.382602,0.349819,0,0.0660858,0,1
0.652238,0.747892,1,0.998757,1,1
0.166556,0.169699,0,8.56859e-05,0,1
0.707292,0.432546,1,0.992987,1,1
0.15512,0.0978254,0,3.8578e-05,0,1
0.708843,0.578909,1,0.997875,1,1
0.284619,0.106963,0,0.00027532,0,1
0.431494,0.358171,0,0.203237,0,1
0.549246,0.49832,1,0.959232,1,1
0.31332,0.102509,0,0.00043093,0,1
0.28176,0.265253,0,0.00202042,0,1
0.597185,0.765094,1,0.998168,1,1
0.363165,0.235374,0,0.00742991,0,1
0.429344,0.635386,1,0.934951,1,1
0.417199,0.375522,0,0.194063,0,1
0.524003,0.725172,1,0.994317,1,1
0.401795,0.365032,0,0.12422,0,1
0.361104,0.237263,0,0.00730499,0,1
0.671498,0.726067,1,0.998802,1,1
0.432336,0.355835,0,0.200407,0,1
0.405696,0.176162,0,0.00777045,0,1
0.429965,0.427723,0,0.424374,-1,0
0.479499,0.614406,1,0.965195,1,1
0.567442,0.597055,1,0.989611,1,1
0.283045,0.315615,0,0.00428984,0,1
0.601485,0.794476,1,0.998536,1,1
0.283821,0.248747,0,0.00167259,0,1
0.519747,0.494492,0,0.92835,1,0
0.61926,0.352454,1,0.93187,1,1
0.425332,0.485742,0,0.617653,1,0
0.201995,0.183023,0,0.000167348,0,1
0.295035,0.293442,0,0.00400592,0,1
0.217886,0.356481,0,0.00196525,0,1
0.708777,0.757338,1,0.999224,1,1
0.64949,0.594221,1,0.996378,1,1
0.327992,0.254116,0,0.00456118,0,1
0.362677,0.32342,0,0.0283212,0,1
0.388409,0.315913,0,0.0449983,0,1
0.5207,0.476842,0,0.912748,1,0
0.462323,0.491359,0,0.79606,1,0
0.622939,0.738247,1,0.998293,1,1
0.913985,0.747643,1,0.999696,1,1
0.361414,0.495884,1,0.307315,0,0
0.303989,0.183172,0,0.00102102,0,1
0.364605,0.325508,0,0.0305459,0,1
0.511414,0.420813,1,0.799681,1,1
0.437566,0.361353,0,0.236183,0,1
0.501175,0.454122,0,0.838045,1,0
0.543373,0.797011,1,0.997463,1,1
0.791955,0.539385,1,0.998733,1,1
0.50953,0.556089,1,0.958939,1,1
0.806472,0.472368,1,0.998332,1,1
0.341489,0.151404,0,0.00139345,0,1
0.562655,0.770612,1,0.997499,1,1
0.493994,0.825647,1,0.996458,1,1
0.63801,0.52979,1,0.992685,1,1
0.282691,0.10307,0,0.0002547,0,1
0.39406,0.277433,0,0.0283009,0,1
0.37336,0.319443,0,0.0338886,0,1
0.467465,0.346488,0,0.328512,0,1
0.235572,0.280515,0,0.000988809,0,1
0.285683,0.171042,0,0.000614442,0,1
0.174224,0.124036,0,6.1771e-05,0,1
0.332801,0.241936,0,0.00422724,0,1
0.527903,0.58572,1,0.978479,1,1
0.657934,0.827835,1,0.999209,1,1
0.455962,0.403363,0,0.477238,-1,0
0.469814,0.419272,1,0.613537,1,1
0.22418,0.106083,0,0.000104598,0,1
0.451175,0.415543,0,0.497078,-1,0
0.857779,0.643589,1,0.99949,1,1
0.293373,0.126273,0,0.000403865,0,1
0.521609,0.757089,1,0.995551,1,1
0.845612,0.588852,1,0.999326,1,1
0.377061,0.460138,0,0.266074,0,1
0.451817,0.498966,1,0.777161,1,1
0.546543,0.430557,1,0.903481,1,1
0.935527,0.849958,1,0.999761,1,1
0.76137,0.525017,1,0.998181,1,1
0.417753,0.388548,0,0.23087,0,1
0.414561,0.373434,0,0.179623,0,1
0.341689,0.232938,0,0.00448309,0,1
0.620279,0.283697,1,0.846441,1,1
0.6666,0.800839,1,0.999154,1,1
0.707779,0.694995,1,0.998938,1,1
0.584486,0.780157,1,0.998124,1,1
0.517974,0.500507,1,0.931245,1,1
0.72121,0.500457,1,0.996695,1,1
0.648892,0.815953,1,0.999109,1,1
0.443794,0.253172,0,0.0594834,0,1
